Student_ID,Score
N00000146,88
N00000147,80
N00000148,92
N00000149,80
N00000150,72
N00000151,80
N00000152,92
N00000153,80
N00000154,68
N00000155,80
N00000156,84
N00000157,72
N00000158,76
N00000159,76
N00000160,64
N00000161,88
N00000162,68
N00000163,68
N00000164,84
N00000165,68
N00000166,84
N00000167,84
N00000168,80
N00000169,84
N00000170,88
N00000171,76
N00000172,88
N00000173,52
N00000174,88
N00000175,76
N00000176,68
N00000177,72
N00000178,88
N00000179,84
N00000180,88
N00000181,72
N00000182,76
N00000183,80
N00000184,72
N00000185,72
N00000186,76
N00000187,76
N00000188,60
N00000189,96
N00000190,80
N00000191,80
N00000192,88
N00000193,80
N00000194,72
N00000195,76
N00000196,76
N00000197,72
N00000198,88
N00000199,88
N00000200,76
N00000201,76
N00000202,100
N00000203,88
N00000204,68
N00000205,76
N00000206,76
N00000207,92
N00000208,76
N00000209,80
N00000210,80
N00000211,76
N00000212,84
N00000213,88
N00000214,88
N00000215,72
N00000216,68
N00000217,76
N00000218,88
N00000219,80
N00000220,68
N00000221,80
N00000222,60
N00000223,76
N00000224,80
N00000225,72
N00000226,72
N00000227,80
N00000228,72
N00000229,76
N00000230,92
N00000231,76
N00000232,88
N00000233,88
N00000234,80
N00000235,68
N00000236,72
N00000237,64
N00000238,76
N00000239,76
N00000240,68
N00000241,68
N00000242,72
N00000243,84
N00000244,80
N00000245,76
N00000246,72
N00000247,80
N00000248,68
N00000249,84
N00000250,88
N00000251,80
N00000252,76
N00000253,84
N00000254,76
N00000255,80
N00000256,84
N00000257,96
N00000258,56
N00000259,92
N00000260,80
N00000261,84
N00000262,88
N00000263,68
N00000264,92
N00000265,88
N00000266,84
N00000267,60
N00000268,80
N00000269,72
N00000270,84
N00000271,88
N00000272,68
N00000273,64
N00000274,68
N00000275,76
N00000276,84
N00000277,80
N00000278,76
N00000279,64
N00000280,72
N00000281,64
N00000282,80
N00000283,100
N00000284,80
N00000285,88
N00000286,76
N00000287,80
N00000288,64
N00000289,84
N00000290,80
N00000291,80
N00000292,92
N00000293,76
N00000294,84
N00000295,64
N00000296,72
N00000297,84
N00000298,96
N00000299,84
N00000300,76
N00000301,76
N00000302,84
N00000303,92
N00000304,72
N00000305,72
N00000306,76
N00000307,88
N00000308,72
N00000309,72
N00000310,88
N00000311,76
N00000312,96
N00000313,76
N00000314,80
N00000315,76
N00000316,80
N00000317,72
N00000318,72
N00000319,84
N00000320,76
N00000321,76
N00000322,96
N00000323,72
N00000324,88
N00000325,76
N00000326,72
N00000327,76
N00000328,88
N00000329,96
N00000330,80
N00000331,76
N00000332,80
N00000333,76
N00000334,80
N00000335,64
N00000336,92
N00000337,76
N00000338,80
N00000339,84
N00000340,84
N00000341,84
N00000342,84
N00000343,88
N00000344,84
N00000345,88
N00000346,68
N00000347,88
N00000348,76
N00000349,68
N00000350,76
N00000351,80
N00000352,76
N00000353,68
N00000354,72
N00000355,76
N00000356,80
N00000357,92
N00000358,76
N00000359,60
N00000360,80
N00000361,88
N00000362,76
N00000363,84
N00000364,80
N00000365,84
N00000366,68
N00000367,76
N00000368,80
N00000369,72
N00000370,68
N00000371,88
N00000372,80
N00000373,80
N00000374,76
N00000375,84
N00000376,72
N00000377,80
N00000378,84
N00000379,68
N00000380,84
N00000381,88
N00000382,68
N00000383,80
N00000384,64
N00000385,80
N00000386,88
N00000387,76
N00000388,84
N00000389,68
N00000390,92
N00000391,80
N00000392,88
N00000393,80
N00000394,92
N00000395,84
N00000396,68
N00000397,68
N00000398,92
N00000399,80
N00000400,80
N00000401,68
N00000402,68
N00000403,80
N00000404,80
N00000405,76
N00000406,76
N00000407,64
N00000408,76
N00000409,84
N00000410,76
N00000411,88
N00000412,64
N00000413,72
N00000414,72
N00000415,80
N00000416,92
N00000417,72
N00000418,84
N00000419,80
N00000420,88
N00000421,72
N00000422,96
N00000423,72
N00000424,80
N00000425,72
N00000426,92
N00000427,68
N00000428,68
N00000429,76
